timestamp,source,sequence,latitude,longitude,altitude_from_sealevel,relative_altitude,voltage,remaining_percent,angular_velocity_forward_rad_s,angular_velocity_right_rad_s,angular_velocity_down_rad_s,linear_acceleration_forward_m_s2,linear_acceleration_right_m_s2,linear_acceleration_down_m_s2,magnetic_field_forward_gauss,magnetic_field_right_gauss,magnetic_field_down_gauss,temperature_degc,roll_deg,pitch_deg,yaw_deg,timestamp_us,north_m_s,east_m_s,down_m_s,system_time,unix_time
2025-07-03T11:11:11.162Z,system_time,1,,,,,,,,,,,,,,,,,,,,,,,,2025-07-03T11:11:11.162Z,1751521271.162555
2025-07-03T11:11:11.212Z,system_time,2,,,,,,,,,,,,,,,,,,,,,,,,2025-07-03T11:11:11.212Z,1751521271.212832
2025-07-03T11:11:11.247Z,attitude,3,,,,,,,,,,,,,,,,,0.02837911807000637,0.12661238014698029,-127.0025634765625,5991600000,,,,,
2025-07-03T11:11:11.248Z,global_position_int,4,-37.7297089,144.7790234,1087.1700439453125,954.570068359375,,,,,,,,,,,,,0.02837911807000637,0.12661238014698029,-127.0025634765625,5991600000,,,,,
2025-07-03T11:11:11.248Z,velocity,5,,,,,,,,,,,,,,,,,0.02837911807000637,0.12661238014698029,-127.0025634765625,5991600000,-3.359999895095825,-4.480000019073486,0.2800000011920929,,
2025-07-03T11:11:11.255Z,scaled_imu,6,,,,,,,0.0,15.0,0.0,,,,-164.0,144.0,-556.0,45.0,,,,,,,,,
2025-07-03T11:11:11.262Z,battery_status,7,,,,,44.367000579833984,99.0,0.0,15.0,0.0,,,,-164.0,144.0,-556.0,45.0,0.02837911807000637,0.12661238014698029,-127.0025634765625,5991600000,,,,,
2025-07-03T11:11:11.263Z,system_time,8,,,,,,,0.0,15.0,0.0,,,,-164.0,144.0,-556.0,45.0,0.02837911807000637,0.12661238014698029,-127.0025634765625,5991600000,,,,2025-07-03T11:11:11.263Z,1751521271.263629
2025-07-03T11:11:11.314Z,system_time,9,,,,,,,0.0,15.0,0.0,,,,-164.0,144.0,-556.0,45.0,0.02837911807000637,0.12661238014698029,-127.0025634765625,5991600000,,,,2025-07-03T11:11:11.314Z,1751521271.314592
2025-07-03T11:11:11.365Z,system_time,10,,,,,,,0.0,15.0,0.0,,,,-164.0,144.0,-556.0,45.0,0.02837911807000637,0.12661238014698029,-127.0025634765625,5991600000,,,,2025-07-03T11:11:11.365Z,1751521271.365156
2025-07-03T11:11:11.415Z,system_time,11,,,,,,,0.0,15.0,0.0,,,,-164.0,144.0,-556.0,45.0,0.02837911807000637,0.12661238014698029,-127.0025634765625,5991600000,,,,2025-07-03T11:11:11.415Z,1751521271.415418
2025-07-03T11:11:11.465Z,system_time,12,,,,,,,0.0,15.0,0.0,,,,-164.0,144.0,-556.0,45.0,0.02837911807000637,0.12661238014698029,-127.0025634765625,5991600000,,,,2025-07-03T11:11:11.465Z,1751521271.465672
2025-07-03T11:11:11.479Z,attitude,13,,,,,,,,,,,,,,,,,0.08453099429607391,0.3107028901576996,-126.95170593261719,5991852000,,,,,
2025-07-03T11:11:11.480Z,global_position_int,14,-37.7297164,144.7790106,1086.9901123046875,954.3900756835938,,,0.0,15.0,0.0,,,,-164.0,144.0,-556.0,45.0,0.08453099429607391,0.3107028901576996,-126.95170593261719,5991852000,,,,,
2025-07-03T11:11:11.480Z,velocity,15,,,,,,,0.0,15.0,0.0,,,,-164.0,144.0,-556.0,45.0,0.08453099429607391,0.3107028901576996,-126.95170593261719,5991852000,-3.369999885559082,-4.489999771118164,1.0399999618530273,,
2025-07-03T11:11:11.489Z,scaled_imu,16,,,,,,,2.0,0.0,-2.0,,,,-162.0,144.0,-557.0,45.0,,,,,,,,,
2025-07-03T11:11:11.499Z,battery_status,17,,,,,44.367000579833984,99.0,2.0,0.0,-2.0,,,,-162.0,144.0,-557.0,45.0,0.08453099429607391,0.3107028901576996,-126.95170593261719,5991852000,,,,,
