timestamp,source,sequence,latitude,longitude,altitude_from_sealevel,relative_altitude,voltage,remaining_percent,north_m_s,east_m_s,down_m_s,temperature_degc,roll_deg,pitch_deg,yaw_deg,angular_velocity_forward_rad_s,angular_velocity_right_rad_s,angular_velocity_down_rad_s,linear_acceleration_forward_m_s2,linear_acceleration_right_m_s2,linear_acceleration_down_m_s2,magnetic_field_forward_gauss,magnetic_field_right_gauss,magnetic_field_down_gauss,system_time,unix_time,speed_m_s,direction_deg
2025-07-16T10:09:04.230Z,position,1,47.7879911,13.1039212,1580.7900390625,1152.3900146484375,,,,,,,41.31875228881836,-1.5717347860336304,104.67414855957031,,,,,,,,,,,,,
2025-07-16T10:09:04.517Z,position,2,47.7879529,13.104128,1580.9500732421875,1152.550048828125,12.097000122070312,-1.0,-15.75999927520752,62.119998931884766,-0.4699999988079071,,41.49419021606445,-1.3674379587173462,107.42054748535156,,,,,,,,,,,,,
2025-07-16T10:09:04.738Z,position,3,47.7879096,13.104331,1581.1800537109375,1152.780029296875,12.079000473022461,-1.0,-18.09000015258789,61.2599983215332,-0.7699999809265137,,41.635887145996094,-0.8162539601325989,109.63130187988281,,,,,,,,,,,,,
2025-07-16T10:09:05.034Z,position,4,47.7878611,13.1045316,1581.4901123046875,1153.090087890625,12.064000129699707,-1.0,-20.399999618530273,60.30999755859375,-1.0799999237060547,,41.7630729675293,-0.19153422117233276,111.738037109375,,,,,,,,,,,,,
2025-07-16T10:09:05.237Z,position,5,47.7878087,13.1047266,1581.85009765625,1153.4500732421875,12.051000595092773,-1.0,-22.489999771118164,59.30999755859375,-1.3399999141693115,,42.01347351074219,0.1848423033952713,114.10602569580078,,,,,,,,,,,,,
2025-07-16T10:09:05.524Z,position,6,47.787748199999996,13.1049302,1582.300048828125,1153.9000244140625,12.031000137329102,-1.0,-24.43000030517578,58.279998779296875,-1.5799999237060547,,42.29951477050781,0.32654285430908203,116.8945541381836,,,,,,,,,,,,,
2025-07-16T10:09:05.756Z,position,7,47.7876834,13.1051287,1582.7900390625,1154.3900146484375,12.01400089263916,-1.0,-26.469999313354492,57.11000061035156,-1.8199999332427979,,42.674869537353516,0.2088710516691208,119.85835266113281,,,,,,,,,,,,,
2025-07-16T10:09:05.987Z,position,8,47.7876239,13.1052965,1583.2100830078125,1154.81005859375,11.998000144958496,-1.0,-28.35999870300293,55.93000030517578,-1.8499999046325684,,42.92386245727539,0.13820558786392212,122.42709350585938,,,,,,,,,,,,,
2025-07-16T10:09:06.367Z,position,9,47.7875465,13.1054973,1583.7401123046875,1155.340087890625,11.97700023651123,-1.0,-29.989999771118164,54.81999969482422,-1.8600000143051147,,43.167354583740234,0.07135329395532608,125.4352035522461,,,,,,,,,,,,,
2025-07-16T10:09:06.554Z,position,10,47.7874802,13.1056561,1584.1600341796875,1155.760009765625,11.972000122070312,-1.0,-32.0,53.349998474121094,-1.909999966621399,,43.44371795654297,0.047019027173519135,127.81262969970703,,,,,,,,,,,,,
2025-07-16T10:09:06.739Z,position,11,47.7874043,13.1058256,1584.590087890625,1156.1900634765625,11.956000328063965,-1.0,-33.48999786376953,52.13999938964844,-1.809999942779541,,43.75754928588867,0.08589990437030792,130.41587829589844,,,,,,,,,,,,,
2025-07-16T10:09:06.988Z,position,12,47.787324299999995,13.1059915,1585.0101318359375,1156.610107421875,11.946000099182129,-1.0,-35.05999755859375,50.77000045776367,-1.709999918937683,,44.03562927246094,-0.025954719632864,133.19674682617188,,,,,,,,,,,,,
2025-07-16T10:09:07.247Z,position,13,47.7872355,13.1061628,1585.4400634765625,1157.0400390625,11.940000534057617,-1.0,-36.59000015258789,49.32999801635742,-1.6699999570846558,,44.37666702270508,-0.35262182354927063,136.21498107910156,,,,,,,,,,,,,
2025-07-16T10:09:07.491Z,position,14,47.787149899999996,13.1063163,1585.81005859375,1157.4100341796875,11.92300033569336,-1.0,-38.20000076293945,47.689998626708984,-1.5999999046325684,,44.684017181396484,-0.7030532360076904,139.01358032226562,,,,,,,,,,,,,
2025-07-16T10:09:07.805Z,position,15,47.7870553,13.1064745,1586.1600341796875,1157.760009765625,11.918000221252441,-1.0,-39.55999755859375,46.20000076293945,-1.399999976158142,,44.892601013183594,-1.017096757888794,142.03269958496094,,,,,,,,,,,,,
2025-07-16T10:09:08.004Z,position,16,47.7869655,13.1066141,1586.4400634765625,1158.0400390625,11.914000511169434,-1.0,-41.040000915527344,44.45000076293945,-1.25,,45.07538986206055,-1.2026318311691284,144.66595458984375,,,,,,,,,,,,,
2025-07-16T10:09:08.312Z,position,17,47.786871999999995,13.10675,1586.6800537109375,1158.280029296875,11.910000801086426,-1.0,-42.30999755859375,42.77000045776367,-1.0699999332427979,,45.317054748535156,-1.3530418872833252,147.4268035888672,,,,,,,,,,,,,
2025-07-16T10:09:08.526Z,position,18,47.7867746,13.1068825,1586.880126953125,1158.4801025390625,11.907000541687012,-1.0,-43.45000076293945,41.099998474121094,-0.8999999761581421,,45.47902297973633,-1.7141165733337402,150.53306579589844,,,,,,,,,,,,,
2025-07-16T10:09:08.750Z,position,19,47.7866691,13.1070161,1587.050048828125,1158.6500244140625,11.90000057220459,-1.0,-44.47999954223633,39.36000061035156,-0.7099999785423279,,45.65268325805664,-2.14553165435791,153.9639434814453,,,,,,,,,,,,,
2025-07-16T10:09:09.029Z,position,20,47.7865617,13.1071411,1587.1800537109375,1158.780029296875,11.90000057220459,-1.0,-45.61000061035156,37.23999786376953,-0.5999999642372131,,45.866790771484375,-2.3000290393829346,156.79379272460938,,,,,,,,,,,,,
