timestamp,source,sequence,latitude,longitude,altitude_from_sealevel,relative_altitude,voltage,remaining_percent,north_m_s,east_m_s,down_m_s,temperature_degc,pressure_hpa,roll_deg,pitch_deg,yaw_deg,angular_velocity_forward_rad_s,angular_velocity_right_rad_s,angular_velocity_down_rad_s,linear_acceleration_forward_m_s2,linear_acceleration_right_m_s2,linear_acceleration_down_m_s2,magnetic_field_forward_gauss,magnetic_field_right_gauss,magnetic_field_down_gauss,system_time,unix_time,speed_m_s,direction_deg,airspeed_m_s
2025-07-21T06:08:04.778+00:00Z,position,1,18.7075896,72.8486245,1104.080078125,1098.1199951171875,,,,,,,,0.19730626046657562,-0.27233821153640747,-172.63650512695312,,,,,,,,,,2025-07-21T11:38:04.778Z,1753078084,,,
2025-07-21T06:08:05.053+00:00Z,position,2,18.7075067,72.8486147,1104.10009765625,1098.1390380859375,42.6410026550293,-1.0,-36.79999923706055,-4.069999694824219,-0.08999999612569809,27.81999969482422,887.4791259765625,0.207426980137825,-0.27248668670654297,-172.63841247558594,,,,,,,,,,2025-07-21T11:38:05.053Z,1753078085,37.02438171480418,186.31113935367338,29.697525024414062
2025-07-21T06:08:05.271+00:00Z,position,3,18.7074276,72.8486056,1104.1199951171875,1098.1590576171875,42.6410026550293,-1.0,-36.80999755859375,-4.069999694824219,-0.09999999403953552,27.81999969482422,887.4791259765625,0.20879565179347992,-0.274740993976593,-172.6409454345703,,,,,,,,,,2025-07-21T11:38:05.271Z,1753078085,37.03431945884178,186.30943895042932,29.699953079223633
2025-07-21T06:08:05.530+00:00Z,position,4,18.7073423,72.8485956,1104.1500244140625,1098.1900634765625,42.6410026550293,-1.0,-36.80999755859375,-4.069999694824219,-0.09999999403953552,27.81999969482422,887.454345703125,0.20650270581245422,-0.27505016326904297,-172.6420440673828,,,,,,,,,,2025-07-21T11:38:05.530Z,1753078085,37.03431945884178,186.30943895042932,29.7027645111084
2025-07-21T06:08:05.774+00:00Z,position,5,18.7072626,72.8485862,1104.1700439453125,1098.2100830078125,42.6410026550293,-1.0,-36.79999923706055,-4.069999694824219,-0.08999999612569809,27.81999969482422,887.454345703125,0.200669527053833,-0.27878767251968384,-172.64071655273438,,,,,,,,,,2025-07-21T11:38:05.774Z,1753078085,37.02438171480418,186.31113935367338,29.697341918945312
2025-07-21T06:08:06.034+00:00Z,position,6,18.7071777,72.8485764,1104.2000732421875,1098.2401123046875,42.6410026550293,-1.0,-36.79999923706055,-4.069999694824219,-0.08999999612569809,27.81999969482422,887.462646484375,0.1947058141231537,-0.27917683124542236,-172.6383056640625,,,,,,,,,,2025-07-21T11:38:06.034Z,1753078086,37.02438171480418,186.31113935367338,29.696107864379883
2025-07-21T06:08:06.273+00:00Z,position,7,18.7070974,72.848567,1104.2200927734375,1098.260009765625,42.6410026550293,-1.0,-36.79999923706055,-4.069999694824219,-0.08999999612569809,27.81999969482422,887.4451904296875,0.20465897023677826,-0.2806414067745209,-172.6372833251953,,,,,,,,,,2025-07-21T11:38:06.273Z,1753078086,37.02438171480418,186.31113935367338,29.693828582763672
2025-07-21T06:08:06.527+00:00Z,position,8,18.707013,72.848557,1104.25,1098.2900390625,42.6410026550293,-1.0,-36.790000915527344,-4.069999694824219,-0.09999999403953552,27.81999969482422,887.4451904296875,0.21616606414318085,-0.27950772643089294,-172.63919067382812,,,,,,,,,,2025-07-21T11:38:06.527Z,1753078086,37.014444003393756,186.31284066997424,29.688011169433594
2025-07-21T06:08:06.791+00:00Z,position,9,18.7069282,72.8485472,1104.27001953125,1098.31005859375,42.6410026550293,-1.0,-36.790000915527344,-4.069999694824219,-0.09999999403953552,27.81999969482422,887.475341796875,0.2145254909992218,-0.2795412838459015,-172.640869140625,,,,,,,,,,2025-07-21T11:38:06.791Z,1753078086,37.014444003393756,186.31284066997424,29.688159942626953
2025-07-21T06:08:07.026+00:00Z,position,10,18.7068477,72.8485378,1104.300048828125,1098.340087890625,42.6410026550293,-1.0,-36.790000915527344,-4.069999694824219,-0.09999999403953552,27.81999969482422,887.475341796875,0.20860271155834198,-0.2788656949996948,-172.6398468017578,,,,,,,,,,2025-07-21T11:38:07.026Z,1753078087,37.014444003393756,186.31284066997424,29.685993194580078
2025-07-21T06:08:07.280+00:00Z,position,11,18.7067662,72.8485283,1104.320068359375,1098.360107421875,42.6400032043457,-1.0,-36.790000915527344,-4.069999694824219,-0.08999999612569809,27.81999969482422,887.476318359375,0.20276427268981934,-0.2754797637462616,-172.6373291015625,,,,,,,,,,2025-07-21T11:38:07.280Z,1753078087,37.014444003393756,186.31284066997424,29.689990997314453
2025-07-21T06:08:07.530+00:00Z,position,12,18.7066838,72.8485185,1104.330078125,1098.3800048828125,42.6400032043457,-1.0,-36.790000915527344,-4.069999694824219,-0.07999999821186066,27.81999969482422,887.476318359375,0.1970367729663849,-0.26595354080200195,-172.63470458984375,,,,,,,,,,2025-07-21T11:38:07.530Z,1753078087,37.014444003393756,186.31284066997424,29.68584632873535
2025-07-21T06:08:07.783+00:00Z,position,13,18.7065978,72.8485086,1104.3699951171875,1098.4090576171875,42.6400032043457,-1.0,-36.790000915527344,-4.069999694824219,-0.08999999612569809,27.81999969482422,887.4302978515625,0.19106198847293854,-0.2577609121799469,-172.6331787109375,,,,,,,,,,2025-07-21T11:38:07.783Z,1753078087,37.014444003393756,186.31284066997424,29.6843318939209
2025-07-21T06:08:08.027+00:00Z,position,14,18.7065178,72.8484991,1104.3900146484375,1098.4290771484375,42.6400032043457,-1.0,-36.790000915527344,-4.069999694824219,-0.08999999612569809,27.81999969482422,887.4302978515625,0.19040818512439728,-0.24677301943302155,-172.63333129882812,,,,,,,,,,2025-07-21T11:38:08.027Z,1753078088,37.014444003393756,186.31284066997424,29.6855411529541
2025-07-21T06:08:08.278+00:00Z,position,15,18.706433,72.8484893,1104.4100341796875,1098.4500732421875,42.6400032043457,-1.0,-36.790000915527344,-4.069999694824219,-0.08999999612569809,27.81999969482422,887.4315185546875,0.20533953607082367,-0.2402787059545517,-172.63633728027344,,,,,,,,,,2025-07-21T11:38:08.278Z,1753078088,37.014444003393756,186.31284066997424,29.68791389465332
2025-07-21T06:08:08.528+00:00Z,position,16,18.7063499,72.8484795,1104.4400634765625,1098.4801025390625,42.6400032043457,-1.0,-36.790000915527344,-4.069999694824219,-0.08999999612569809,27.81999969482422,887.4280395507812,0.21421769261360168,-0.24153569340705872,-172.64065551757812,,,,,,,,,,2025-07-21T11:38:08.528Z,1753078088,37.014444003393756,186.31284066997424,29.683067321777344
2025-07-21T06:08:08.774+00:00Z,position,17,18.7062404,72.8484812,1102.4500732421875,1096.4901123046875,42.6400032043457,-1.0,-36.779998779296875,-4.069999694824219,-0.09999999403953552,27.81999969482422,887.4280395507812,0.22764992713928223,-0.24994409084320068,-172.6422576904297,,,,,,,,,,2025-07-21T11:38:08.774Z,1753078088,37.004502533083034,186.3145435496972,29.678377151489258
2025-07-21T06:08:09.030+00:00Z,position,18,18.7061559,72.8484713,1102.4801025390625,1096.52001953125,42.6400032043457,-1.0,-36.779998779296875,-4.069999694824219,-0.09999999403953552,27.81999969482422,887.6632080078125,0.48075973987579346,-0.2535373270511627,-172.6352081298828,,,,,,,,,,2025-07-21T11:38:09.030Z,1753078089,37.004502533083034,186.3145435496972,29.674715042114258
2025-07-21T06:08:09.286+00:00Z,position,19,18.7060711,72.8484613,1102.510009765625,1096.550048828125,42.6400032043457,-1.0,-36.790000915527344,-4.069999694824219,-0.09999999403953552,27.81999969482422,887.6632080078125,0.8301979303359985,-0.2546359896659851,-172.6116943359375,,,,,,,,,,2025-07-21T11:38:09.286Z,1753078089,37.014444003393756,186.31284066997424,29.681093215942383
2025-07-21T06:08:09.523+00:00Z,position,20,18.7059903,72.8484519,1102.530029296875,1096.570068359375,42.6400032043457,-1.0,-36.779998779296875,-4.079999923706055,-0.09999999403953552,27.81999969482422,887.6571044921875,1.093478798866272,-0.2587738633155823,-172.57528686523438,,,,,,,,,,2025-07-21T11:38:09.523Z,1753078089,37.00560375919465,186.32993296868435,29.680158615112305
2025-07-21T06:08:09.775+00:00Z,position,21,18.7059098,72.8484424,1102.56005859375,1096.60009765625,42.6400032043457,-1.0,-36.779998779296875,-4.110000133514404,-0.08999999612569809,27.81999969482422,887.6571044921875,1.2482177019119263,-0.26235875487327576,-172.53025817871094,,,,,,,,,,2025-07-21T11:38:09.775Z,1753078089,37.00892340102003,186.3760949813766,29.683700561523438
