timestamp,source,sequence,latitude,longitude,altitude_from_sealevel,relative_altitude,voltage,remaining_percent,north_m_s,east_m_s,down_m_s,temperature_degc,pressure_hpa,roll_deg,pitch_deg,yaw_deg,angular_velocity_forward_rad_s,angular_velocity_right_rad_s,angular_velocity_down_rad_s,linear_acceleration_forward_m_s2,linear_acceleration_right_m_s2,linear_acceleration_down_m_s2,magnetic_field_forward_gauss,magnetic_field_right_gauss,magnetic_field_down_gauss,system_time,unix_time,speed_m_s,direction_deg,airspeed_m_s
2025-07-18T11:14:17.451+00:00Z,position,1,19.586095,72.9757566,1262.080078125,1253.6201171875,,,,,,,,0.6870291829109192,-0.8752197623252869,9.655268669128418,,,,,,,,,,2025-07-18T16:44:17.451Z,1752837257,,,
2025-07-18T11:14:17.699+00:00Z,position,2,19.5861886,72.9757738,1262.4000244140625,1253.9300537109375,43.98500061035156,-1.0,42.52000045776367,7.359999656677246,-1.25,26.799999237060547,870.6019287109375,0.6855302453041077,-0.8693233728408813,9.657994270324707,,,,,,,,,,2025-07-18T16:44:17.699Z,1752837257,43.1522888602043,9.820306475641805,40.60162353515625
2025-07-18T11:14:17.960+00:00Z,position,3,19.5862893,72.9757923,1262.7401123046875,1254.27001953125,43.98500061035156,-1.0,42.5099983215332,7.359999656677246,-1.2699999809265137,26.799999237060547,870.6019287109375,0.6839576959609985,-0.8627972602844238,9.658350944519043,,,,,,,,,,2025-07-18T16:44:17.960Z,1752837257,43.142433313885356,9.822572083379505,40.594505310058594
2025-07-18T11:14:18.202+00:00Z,position,4,19.5863819,72.9758093,1263.050048828125,1254.580078125,43.98500061035156,-1.0,42.5099983215332,7.359999656677246,-1.2799999713897705,26.799999237060547,870.5079345703125,0.6822643280029297,-0.8534417748451233,9.657154083251953,,,,,,,,,,2025-07-18T16:44:18.202Z,1752837258,43.142433313885356,9.822572083379505,40.59370040893555
2025-07-18T11:14:18.451+00:00Z,position,5,19.5864744,72.9758264,1263.360107421875,1254.8900146484375,43.98500061035156,-1.0,42.5099983215332,7.359999656677246,-1.2899999618530273,26.799999237060547,870.5079345703125,0.6804524064064026,-0.8487285375595093,9.655860900878906,,,,,,,,,,2025-07-18T16:44:18.451Z,1752837258,43.142433313885356,9.822572083379505,40.59442901611328
2025-07-18T11:14:18.704+00:00Z,position,6,19.5865744,72.9758447,1263.7000732421875,1255.2301025390625,43.98500061035156,-1.0,42.5099983215332,7.359999656677246,-1.2799999713897705,26.799999237060547,870.443359375,0.6787031292915344,-0.8477804660797119,9.655098915100098,,,,,,,,,,2025-07-18T16:44:18.704Z,1752837258,43.142433313885356,9.822572083379505,40.58738708496094
2025-07-18T11:14:18.950+00:00Z,position,7,19.5867044,72.9758607,1265.0400390625,1256.570068359375,43.98500061035156,-1.0,42.5,7.359999656677246,-1.2899999618530273,26.799999237060547,870.443359375,0.7031984925270081,-0.8481970429420471,9.663135528564453,,,,,,,,,,2025-07-18T16:44:18.950Z,1752837258,43.132581593805504,9.824837861801875,40.57717514038086
2025-07-18T11:14:19.200+00:00Z,position,8,19.5867991,72.9758781,1265.360107421875,1256.8900146484375,43.98500061035156,-1.0,42.47999954223633,7.349999904632568,-1.2899999618530273,26.799999237060547,870.2787475585938,0.847379207611084,-0.8544389605522156,9.691180229187012,,,,,,,,,,2025-07-18T16:44:19.200Z,1752837259,43.11116861912348,9.816278568750622,40.561485290527344
2025-07-18T11:14:19.455+00:00Z,position,9,19.5868921,72.9758952,1265.6800537109375,1257.2100830078125,43.98500061035156,-1.0,42.48999786376953,7.359999656677246,-1.2899999618530273,26.799999237060547,870.2787475585938,1.0225365161895752,-0.8724305629730225,9.71863842010498,,,,,,,,,,2025-07-18T16:44:19.455Z,1752837259,43.12272618248328,9.827105540553413,40.571083068847656
2025-07-18T11:14:19.697+00:00Z,position,10,19.5869882,72.9759129,1265.9901123046875,1257.52001953125,43.98500061035156,-1.0,42.48999786376953,7.369999885559082,-1.2599999904632568,26.799999237060547,870.2003173828125,1.1735913753509521,-0.877419114112854,9.738655090332031,,,,,,,,,,2025-07-18T16:44:19.697Z,1752837259,43.12443410383816,9.84019704831755,40.57077407836914
2025-07-18T11:14:19.949+00:00Z,position,11,19.5870829,72.9759304,1266.300048828125,1257.830078125,43.98500061035156,-1.0,42.48999786376953,7.389999866485596,-1.25,26.799999237060547,870.2003173828125,1.2736486196517944,-0.8763227462768555,9.761434555053711,,,,,,,,,,2025-07-18T16:44:19.949Z,1752837259,43.12785661831337,9.866376325667007,40.57210159301758
2025-07-18T11:14:20.288+00:00Z,position,12,19.5871863,72.9759497,1266.6400146484375,1258.1700439453125,43.98500061035156,-1.0,42.47999954223633,7.419999599456787,-1.2300000190734863,26.799999237060547,870.1334838867188,1.3021687269210815,-0.8766473531723022,9.779797554016113,,,,,,,,,,2025-07-18T16:44:20.288Z,1752837260,43.12315799155179,9.907922374176684,40.56990051269531
2025-07-18T11:14:20.501+00:00Z,position,13,19.5872819,72.9759675,1266.9500732421875,1258.4801025390625,43.98500061035156,-1.0,42.47999954223633,7.460000038146973,-1.25,26.799999237060547,870.1334838867188,1.2796703577041626,-0.8743361234664917,9.791017532348633,,,,,,,,,,2025-07-18T16:44:20.501Z,1752837260,43.130058679273226,9.960268114207697,40.57552719116211
2025-07-18T11:14:20.757+00:00Z,position,14,19.5873764,72.9759852,1267.27001953125,1258.800048828125,43.98500061035156,-1.0,42.47999954223633,7.480000019073486,-1.2599999904632568,26.799999237060547,870.0498046875,1.2002509832382202,-0.87308669090271,9.81351375579834,,,,,,,,,,2025-07-18T16:44:20.757Z,1752837260,43.133522478389565,9.986434380528056,40.576969146728516
2025-07-18T11:14:20.966+00:00Z,position,15,19.5874685,72.9760026,1267.580078125,1259.110107421875,43.98500061035156,-1.0,42.46999740600586,7.5,-1.2699999809265137,26.799999237060547,870.0498046875,1.1128950119018555,-0.8753554821014404,9.831292152404785,,,,,,,,,,2025-07-18T16:44:20.966Z,1752837260,43.12714550797612,10.014906780059272,40.57196044921875
2025-07-18T11:14:21.202+00:00Z,position,16,19.5875625,72.9760203,1267.8900146484375,1259.4200439453125,43.98400115966797,-1.0,42.459999084472656,7.519999980926514,-1.2699999809265137,26.799999237060547,870.0130004882812,1.0239393711090088,-0.8788852095603943,9.849679946899414,,,,,,,,,,2025-07-18T16:44:21.202Z,1752837261,43.120782947049484,10.043386709960592,40.559879302978516
2025-07-18T11:14:21.488+00:00Z,position,17,19.5876627,72.9760392,1268.2200927734375,1259.75,43.98400115966797,-1.0,42.45000076293945,7.529999732971191,-1.2799999713897705,26.799999237060547,870.0130004882812,0.9292447566986084,-0.8842718601226807,9.869625091552734,,,,,,,,,,2025-07-18T16:44:21.488Z,1752837261,43.11268329334311,10.058789772303376,40.55609130859375
2025-07-18T11:14:21.719+00:00Z,position,18,19.587757,72.976057,1268.5400390625,1260.070068359375,43.98400115966797,-1.0,42.459999084472656,7.539999961853027,-1.25,26.799999237060547,869.9168701171875,0.8397442102432251,-0.8836226463317871,9.884989738464355,,,,,,,,,,2025-07-18T16:44:21.719Z,1752837261,43.12427531771592,10.069551892063034,40.56096649169922
2025-07-18T11:14:22.351+00:00Z,position,19,19.5880009,72.9761031,1269.35009765625,1260.8800048828125,43.98400115966797,-1.0,42.459999084472656,7.549999713897705,-1.2599999904632568,26.799999237060547,869.8502807617188,0.6407498121261597,-0.8829976320266724,9.897358894348145,,,,,,,,,,2025-07-18T16:44:22.351Z,1752837262,43.12602483342598,10.082632580733485,40.558929443359375
2025-07-18T11:14:22.864+00:00Z,position,20,19.5881932,72.9761393,1269.9801025390625,1261.510009765625,43.98400115966797,-1.0,42.459999084472656,7.549999713897705,-1.25,26.799999237060547,869.7791137695312,0.5286099314689636,-0.8940434455871582,9.918401718139648,,,,,,,,,,2025-07-18T16:44:22.864Z,1752837262,43.12602483342598,10.082632580733485,40.56285095214844
