timestamp,source,sequence,latitude,longitude,altitude_from_sealevel,relative_altitude,voltage,remaining_percent,north_m_s,east_m_s,down_m_s,temperature_degc,pressure_hpa,roll_deg,pitch_deg,yaw_deg,angular_velocity_forward_rad_s,angular_velocity_right_rad_s,angular_velocity_down_rad_s,linear_acceleration_forward_m_s2,linear_acceleration_right_m_s2,linear_acceleration_down_m_s2,magnetic_field_forward_gauss,magnetic_field_right_gauss,magnetic_field_down_gauss,system_time,unix_time,speed_m_s,direction_deg,airspeed_m_s
2025-07-24T07:06:17.349+00:00Z,position,1,19.0759416,72.8791288,363.3900146484375,357.44000244140625,,,,,,,,0.2464670091867447,22.87837028503418,159.60049438476562,,,,,,,,,,2025-07-24T12:36:17.349Z,1753340777,,,
2025-07-24T07:06:17.593+00:00Z,position,2,19.0758696,72.8791514,366.3600158691406,360.4100036621094,44.33500289916992,-1.0,-33.689998626708984,10.050000190734863,-12.279999732971191,32.65999984741211,970.853271484375,0.12563607096672058,23.509571075439453,159.58473205566406,,,,,,,,,,2025-07-24T12:36:17.593Z,1753340777,35.157054929294404,163.38973063021328,31.7272891998291
2025-07-24T07:06:17.832+00:00Z,position,3,19.0757948,72.879175,369.530029296875,363.58001708984375,44.33500289916992,-1.0,-33.209999084472656,9.880000114440918,-12.479999542236328,32.65999984741211,970.2034912109375,0.01179000735282898,24.161821365356445,159.53477478027344,,,,,,,,,,2025-07-24T12:36:17.832Z,1753340777,34.6484984011144,163.43221811953444,31.35016632080078
2025-07-24T07:06:18.093+00:00Z,position,4,19.0757218,72.8791979,372.70001220703125,366.7500305175781,44.33500289916992,-1.0,-32.709999084472656,9.6899995803833,-12.59000015258789,32.65999984741211,970.2034912109375,-0.18145422637462616,24.712087631225586,159.4064483642578,,,,,,,,,,2025-07-24T12:36:18.093Z,1753340778,34.115101230599194,163.49862086907632,30.997682571411133
2025-07-24T07:06:18.433+00:00Z,position,5,19.0756498,72.8792203,375.8700256347656,369.9200134277344,44.33500289916992,-1.0,-32.22999954223633,9.519999504089355,-12.649999618530273,32.65999984741211,969.53662109375,-0.41425952315330505,25.237512588500977,159.28948974609375,,,,,,,,,,2025-07-24T12:36:18.433Z,1753340778,33.606595499253054,163.54407334338012,30.477821350097656
2025-07-24T07:06:18.881+00:00Z,position,6,19.0755099,72.8792642,382.2300109863281,376.280029296875,44.33500289916992,-1.0,-31.26999855041504,9.239999771118164,-12.75999927520752,32.65999984741211,968.8656616210938,-0.5734584331512451,26.039567947387695,159.10963439941406,,,,,,,,,,2025-07-24T12:36:18.881Z,1753340778,32.606600637190354,163.5380698859517,29.54745864868164
2025-07-24T07:06:19.134+00:00Z,position,7,19.0754415,72.8792856,385.4000244140625,379.45001220703125,44.33500289916992,-1.0,-30.809999465942383,9.119999885559082,-12.739999771118164,32.65999984741211,968.2145385742188,-0.5411311388015747,26.340288162231445,159.12452697753906,,,,,,,,,,2025-07-24T12:36:19.134Z,1753340779,32.13145600504228,163.5108358588739,29.08740997314453
2025-07-24T07:06:19.591+00:00Z,position,8,19.0753068,72.879328,391.72003173828125,385.77001953125,44.33500289916992,-1.0,-29.94999885559082,8.90999984741211,-12.630000114440918,32.65999984741211,967.4937133789062,-0.43338268995285034,26.818716049194336,159.22731018066406,,,,,,,,,,2025-07-24T12:36:19.591Z,1753340779,31.247248338546154,163.4324777143652,28.371835708618164
2025-07-24T07:06:19.831+00:00Z,position,9,19.0752417,72.8793484,394.8000183105469,388.8500061035156,44.33500289916992,-1.0,-29.53999900817871,8.789999961853027,-12.529999732971191,32.65999984741211,967.4937133789062,-0.3645677864551544,26.952064514160156,159.1992645263672,,,,,,,,,,2025-07-24T12:36:19.831Z,1753340779,30.820052575110502,163.4289614565962,28.029033660888672
2025-07-24T07:06:20.090+00:00Z,position,10,19.075174,72.8793697,398.0000305175781,392.0500183105469,44.33400344848633,-1.0,-29.170000076293945,8.679999351501465,-12.389999389648438,32.65999984741211,966.868896484375,-0.3002939224243164,27.02788543701172,159.18370056152344,,,,,,,,,,2025-07-24T12:36:20.090Z,1753340780,30.434048255088488,163.42878598119293,27.618938446044922
2025-07-24T07:06:20.351+00:00Z,position,11,19.0751106,72.8793898,400.9800109863281,395.030029296875,44.33400344848633,-1.0,-28.799999237060547,8.569999694824219,-12.210000038146973,32.65999984741211,966.868896484375,-0.2842654287815094,27.051485061645508,159.18003845214844,,,,,,,,,,2025-07-24T12:36:20.350Z,1753340780,30.048042379229553,163.42860321715835,27.181697845458984
2025-07-24T07:06:20.600+00:00Z,position,12,19.0750396,72.8794123,405.9300231933594,399.9800109863281,44.33400344848633,-1.0,-28.479999542236328,8.479999542236328,-12.0,32.65999984741211,966.2120361328125,-0.28088855743408203,27.015865325927734,159.16244506835938,,,,,,,,,,2025-07-24T12:36:20.599Z,1753340780,29.71566533265089,163.41895274631048,26.81634521484375
2025-07-24T07:06:20.837+00:00Z,position,13,19.0749773,72.8794321,408.8100280761719,402.8600158691406,44.33400344848633,-1.0,-28.19999885559082,8.399999618530273,-11.75,32.65999984741211,966.2120361328125,-0.32024073600769043,26.947336196899414,159.13197326660156,,,,,,,,,,2025-07-24T12:36:20.837Z,1753340780,29.4244783988881,163.4126615188058,26.33452796936035
2025-07-24T07:06:21.094+00:00Z,position,14,19.0749119,72.8794527,411.7900085449219,405.84002685546875,44.33400344848633,-1.0,-27.939998626708984,8.329999923706055,-11.50999927520752,32.65999984741211,965.393798828125,-0.3306519091129303,26.786970138549805,159.09739685058594,,,,,,,,,,2025-07-24T12:36:21.094Z,1753340781,29.155315501456037,163.39863541183038,25.9405517578125
2025-07-24T07:06:21.340+00:00Z,position,15,19.0748502,72.8794723,414.5500183105469,408.6000061035156,44.33400344848633,-1.0,-27.689998626708984,8.260000228881836,-11.229999542236328,32.65999984741211,964.793701171875,-0.34992724657058716,26.600109100341797,159.05064392089844,,,,,,,,,,2025-07-24T12:36:21.340Z,1753340781,28.89573718956264,163.39001799273143,25.573692321777344
