timestamp,source,sequence,latitude,longitude,altitude_from_sealevel,relative_altitude,voltage,remaining_percent,north_m_s,east_m_s,down_m_s,temperature_degc,pressure_hpa,roll_deg,pitch_deg,yaw_deg,angular_velocity_forward_rad_s,angular_velocity_right_rad_s,angular_velocity_down_rad_s,linear_acceleration_forward_m_s2,linear_acceleration_right_m_s2,linear_acceleration_down_m_s2,magnetic_field_forward_gauss,magnetic_field_right_gauss,magnetic_field_down_gauss,system_time,unix_time,speed_m_s,direction_deg,airspeed_m_s
2025-07-17T12:07:08.312+00:00Z,position,1,19.0888804,72.8805084,8.49000072479248,0.0,12.315000534057617,-1.0,,,,,,-0.26788413524627686,0.2201753407716751,-90.95862579345703,,,,,,,,,,2025-07-17T17:37:08.312Z,1752754028,,,
2025-07-17T12:07:08.834+00:00Z,position,2,19.0888804,72.8805084,8.49000072479248,0.0,12.315000534057617,-1.0,0.0,0.0,0.0,,,-0.2610829174518585,0.2187519520521164,-90.95820617675781,,,,,,,,,,2025-07-17T17:37:08.834Z,1752754028,0.0,0.0,
2025-07-17T12:07:09.333+00:00Z,position,3,19.0888804,72.8805084,8.49000072479248,0.0,12.315000534057617,-1.0,0.0,0.0,0.0,,,-0.2701278626918793,0.22099268436431885,-90.9578628540039,,,,,,,,,,2025-07-17T17:37:09.333Z,1752754029,0.0,0.0,
2025-07-17T12:07:09.815+00:00Z,position,4,19.0888804,72.8805084,8.49000072479248,0.0,12.314000129699707,-1.0,0.0,0.0,0.0,,,-0.27971160411834717,0.22258464992046356,-90.9623031616211,,,,,,,,,,2025-07-17T17:37:09.815Z,1752754029,0.0,0.0,
2025-07-17T12:07:10.284+00:00Z,position,5,19.0888804,72.8805084,8.49000072479248,0.0,12.315000534057617,-1.0,0.0,0.0,0.0,,,-0.2891717255115509,0.22337335348129272,-90.95954895019531,,,,,,,,,,2025-07-17T17:37:10.284Z,1752754030,0.0,0.0,
2025-07-17T12:07:10.524+00:00Z,position,6,19.0888804,72.8805084,8.49000072479248,0.0,12.315000534057617,-1.0,0.0,0.0,0.0,,,-0.2880193889141083,0.22175143659114838,-90.96176147460938,,,,,,,,,,2025-07-17T17:37:10.524Z,1752754030,0.0,0.0,
2025-07-17T12:07:10.765+00:00Z,position,7,19.0888804,72.8805084,8.49000072479248,0.0,12.314000129699707,-1.0,0.0,0.0,0.0,,,-0.28292688727378845,0.22167493402957916,-90.96326446533203,,,,,,,,,,2025-07-17T17:37:10.765Z,1752754030,0.0,0.0,
2025-07-17T12:07:11.020+00:00Z,position,8,19.0888804,72.8805084,8.49000072479248,0.0,12.314000129699707,-1.0,0.0,0.0,0.0,,,-0.28779348731040955,0.22269472479820251,-90.95921325683594,,,,,,,,,,2025-07-17T17:37:11.020Z,1752754031,0.0,0.0,
2025-07-17T12:07:11.288+00:00Z,position,9,19.0888804,72.8805084,8.49000072479248,0.0,12.314000129699707,-1.0,0.0,0.0,0.0,,,-0.2920711934566498,0.22482359409332275,-90.96036529541016,,,,,,,,,,2025-07-17T17:37:11.288Z,1752754031,0.0,0.0,
2025-07-17T12:07:11.521+00:00Z,position,10,19.0888804,72.8805084,8.49000072479248,0.0,12.314000129699707,-1.0,0.0,0.0,0.0,,,-0.291349858045578,0.2270241677761078,-90.9613037109375,,,,,,,,,,2025-07-17T17:37:11.521Z,1752754031,0.0,0.0,
2025-07-17T12:07:11.771+00:00Z,position,11,19.0888804,72.8805084,8.49000072479248,0.0,12.314000129699707,-1.0,0.0,0.0,0.0,,,-0.29540643095970154,0.22838835418224335,-90.95890045166016,,,,,,,,,,2025-07-17T17:37:11.771Z,1752754031,0.0,0.0,
2025-07-17T12:07:12.052+00:00Z,position,12,19.0888804,72.8805084,8.49000072479248,0.0,12.314000129699707,-1.0,0.0,0.0,0.0,,,-0.2852877676486969,0.22909973561763763,-90.96356964111328,,,,,,,,,,2025-07-17T17:37:12.052Z,1752754032,0.0,0.0,
2025-07-17T12:07:12.305+00:00Z,position,13,19.0888804,72.8805084,8.49000072479248,0.0,12.3410005569458,-1.0,0.0,0.0,0.0,,,-0.2811201512813568,0.2279074788093567,-90.9629135131836,,,,,,,,,,2025-07-17T17:37:12.305Z,1752754032,0.0,0.0,
2025-07-17T12:07:12.556+00:00Z,position,14,19.0888804,72.8805084,8.49000072479248,0.0,12.3410005569458,-1.0,0.0,0.0,0.0,,,-0.28613749146461487,0.2265091985464096,-90.96051025390625,,,,,,,,,,2025-07-17T17:37:12.556Z,1752754032,0.0,0.0,
2025-07-17T12:07:12.779+00:00Z,position,15,19.0888804,72.8805084,8.49000072479248,0.0,12.338000297546387,-1.0,0.0,0.0,0.0,,,-0.2851812541484833,0.22977590560913086,-90.96195220947266,,,,,,,,,,2025-07-17T17:37:12.779Z,1752754032,0.0,0.0,
2025-07-17T12:07:13.026+00:00Z,position,16,19.0888804,72.8805084,8.49000072479248,0.0,12.338000297546387,-1.0,0.0,0.0,0.0,,,-0.28303200006484985,0.23296627402305603,-90.9621353149414,,,,,,,,,,2025-07-17T17:37:13.026Z,1752754033,0.0,0.0,
