timestamp_iso,wind_speed_m_s,wind_speed_kt,wind_dir_deg,quality,status,north_m_s,east_m_s,yaw_deg,airspeed_m_s,airspeed_source,latitude,longitude,altitude_from_sealevel
2025-07-18T10:51:18.098+00:00,1.071,2.082,17.577,1.00,ok,36.540000915527344,8.6899995803833,13.249492645263672,36.53640365600586,sensor,19.1905249,72.88694,612.8200073242188
2025-07-18T10:51:18.359+00:00,1.057,2.056,17.444,1.00,ok,36.20000076293945,8.630000114440918,13.296162605285645,36.20020294189453,sensor,19.1906113,72.8869618,613.4000244140625
2025-07-18T10:51:18.593+00:00,1.054,2.049,17.436,1.00,ok,35.849998474121094,8.569999694824219,13.334100723266602,35.8470344543457,sensor,19.1906882,72.8869813,613.8900146484375
2025-07-18T10:51:18.831+00:00,1.046,2.034,17.394,1.00,ok,35.55999755859375,8.519999504089355,13.369989395141602,35.553558349609375,sensor,19.1907633,72.8870003,614.3500366210938
2025-07-18T10:51:19.093+00:00,1.039,2.020,17.313,1.00,ok,35.27000045776367,8.470000267028809,13.40932846069336,35.26641845703125,sensor,19.190848,72.8870218,614.8300170898438
2025-07-18T10:51:19.343+00:00,1.033,2.007,17.276,1.00,ok,34.96999740600586,8.429999351501465,13.443219184875488,34.9638786315918,sensor,19.1909216,72.8870408,615.2200317382812
2025-07-18T10:51:19.598+00:00,1.028,1.998,17.283,1.00,ok,34.709999084472656,8.399999618530273,13.492363929748535,34.70618438720703,sensor,19.191001,72.8870611,615.6000366210938
2025-07-18T10:51:19.848+00:00,1.021,1.984,17.320,1.00,ok,34.45000076293945,8.369999885559082,13.559185981750488,34.442012786865234,sensor,19.1910821,72.8870821,615.9500122070312
2025-07-18T10:51:20.096+00:00,1.017,1.978,17.329,1.00,ok,34.18000030517578,8.34000015258789,13.622346878051758,34.18224334716797,sensor,19.1911543,72.8871008,616.2300415039062
2025-07-18T10:51:20.352+00:00,1.016,1.976,17.301,1.00,ok,33.95000076293945,8.329999923706055,13.691636085510254,33.95280456542969,sensor,19.1912351,72.8871219,616.5
2025-07-18T10:51:20.585+00:00,1.014,1.971,17.314,1.00,ok,33.709999084472656,8.309999465942383,13.744376182556152,33.71476364135742,sensor,19.1913059,72.8871403,616.7100219726562
2025-07-18T10:51:20.852+00:00,1.011,1.965,17.277,1.00,ok,33.5099983215332,8.300000190734863,13.794511795043945,33.521427154541016,sensor,19.1913844,72.8871611,616.9000244140625
2025-07-18T10:51:21.086+00:00,1.010,1.963,17.339,1.00,ok,33.30999755859375,8.279999732971191,13.835424423217773,33.326480865478516,sensor,19.1914551,72.8871796,617.050048828125
2025-07-18T10:51:21.351+00:00,1.008,1.959,17.347,1.00,ok,33.13999938964844,8.260000228881836,13.87343978881836,33.15983963012695,sensor,19.191533,72.8872003,617.1800537109375
2025-07-18T10:51:21.588+00:00,1.006,1.955,17.435,1.00,ok,32.959999084472656,8.239999771118164,13.8996000289917,32.98725509643555,sensor,19.1916013,72.8872184,617.280029296875
2025-07-18T10:51:21.834+00:00,1.003,1.950,17.559,1.00,ok,32.82999801635742,8.220000267028809,13.922085762023926,32.85318374633789,sensor,19.1916772,72.8872385,617.3800048828125
2025-07-18T10:51:22.102+00:00,1.001,1.946,17.674,1.00,ok,32.68000030517578,8.1899995803833,13.945106506347656,32.70514678955078,sensor,19.1917549,72.8872591,617.4800415039062
2025-07-18T10:51:22.355+00:00,0.999,1.941,17.694,1.00,ok,32.529998779296875,8.149999618530273,13.959173202514648,32.56047821044922,sensor,19.191823,72.8872772,617.5700073242188
2025-07-18T10:51:22.599+00:00,0.996,1.935,17.710,1.00,ok,32.39999771118164,8.119999885559082,13.962223052978516,32.4317741394043,sensor,19.1918993,72.8872975,617.6800537109375
2025-07-18T10:51:22.833+00:00,0.994,1.931,17.711,1.00,ok,32.2599983215332,8.079999923706055,13.951334953308105,32.28816223144531,sensor,19.1919689,72.8873158,617.780029296875
2025-07-18T10:51:23.084+00:00,0.990,1.924,17.841,1.00,ok,32.130001068115234,8.050000190734863,13.928069114685059,32.161827087402344,sensor,19.1920426,72.8873354,617.8900146484375
2025-07-18T10:51:23.323+00:00,0.987,1.919,17.992,1.00,ok,32.02000045776367,8.010000228881836,13.902579307556152,32.04080581665039,sensor,19.1921092,72.8873531,617.9900512695312
2025-07-18T10:51:23.619+00:00,0.982,1.909,18.201,1.00,ok,31.90999984741211,7.96999979019165,13.880603790283203,31.932437896728516,sensor,19.1921836,72.8873728,618.0800170898438
2025-07-18T10:51:23.833+00:00,0.980,1.906,18.187,1.00,ok,31.799999237060547,7.919999599456787,13.863679885864258,31.814613342285156,sensor,19.1922566,72.8873919,618.1600341796875
2025-07-18T10:51:24.079+00:00,0.977,1.899,18.179,1.00,ok,31.69999885559082,7.87999963760376,13.84671688079834,31.70810317993164,sensor,19.1923231,72.8874094,618.2400512695312
2025-07-18T10:51:24.338+00:00,0.973,1.891,18.150,1.00,ok,31.599998474121094,7.839999675750732,13.820709228515625,31.610841751098633,sensor,19.1923982,72.8874292,618.31005859375
2025-07-18T10:51:24.572+00:00,0.970,1.885,18.129,1.00,ok,31.5,7.799999713897705,13.791075706481934,31.502147674560547,sensor,19.1924642,72.8874465,618.3600463867188
2025-07-18T10:51:24.846+00:00,0.964,1.874,18.029,1.00,ok,31.420000076293945,7.759999752044678,13.75440502166748,31.415630340576172,sensor,19.1925381,72.8874658,618.4100341796875
2025-07-18T10:51:25.094+00:00,0.963,1.872,18.052,1.00,ok,31.34000015258789,7.730000019073486,13.719807624816895,31.331369400024414,sensor,19.1926098,72.8874845,618.4500122070312
2025-07-18T10:51:25.335+00:00,0.960,1.866,18.047,1.00,ok,31.260000228881836,7.690000057220459,13.690299987792969,31.24799919128418,sensor,19.1926752,72.8875015,618.4900512695312
2025-07-18T10:51:25.577+00:00,0.958,1.862,18.106,1.00,ok,31.189998626708984,7.659999847412109,13.659860610961914,31.17420196533203,sensor,19.1927479,72.8875204,618.5400390625
2025-07-18T10:51:25.846+00:00,0.954,1.854,18.173,1.00,ok,31.10999870300293,7.619999885559082,13.632903099060059,31.091514587402344,sensor,19.1928196,72.8875389,618.5800170898438
2025-07-18T10:51:26.077+00:00,0.952,1.851,18.174,1.00,ok,31.029998779296875,7.589999675750732,13.611156463623047,31.01398468017578,sensor,19.1928844,72.8875558,618.6200561523438
2025-07-18T10:51:26.334+00:00,0.949,1.844,18.068,1.00,ok,30.969999313354492,7.559999942779541,13.589088439941406,30.944406509399414,sensor,19.1929577,72.8875747,618.6600341796875
2025-07-18T10:51:26.596+00:00,0.948,1.842,18.051,1.00,ok,30.899999618530273,7.529999732971191,13.57000732421875,30.872453689575195,sensor,19.1930287,72.887593,618.7000122070312
